"http://btbtdy.me/","HTTPSConnectionPool(host='btbtdy.me'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'btbtdy.me' doesn't match either of '*.qksdown.com'; 'qksdown.com'"")))","['23.224.135.130'; '172.247.21.216'; '23.224.135.131'; '23.224.135.132']","2","['10.126.192.2'; '10.10.254.61']"
"https://lookmovie.ag/","200","['5.182.209.79']","2","['10.126.192.3'; '10.10.254.61']"
"https://www.037hdd.com/","200","['172.67.184.59'; '104.21.32.61']","7","['10.126.192.3'; '10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '202.158.194.177'; '198.32.176.171'; '104.21.32.61']"
"https://cuevana3.io/","200","['172.67.73.111'; '104.26.6.61'; '104.26.7.61']","4","['10.127.1.7'; '10.10.254.61'; '10.126.192.3'; '172.67.73.111']"
"https://cuevana3.co/","200","['104.21.54.121'; '172.67.138.133']","5","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '198.32.176.171'; '104.21.54.121']"
"https://exsite24.pl/","403","['104.21.32.237'; '172.67.156.209']","7","['10.126.192.3'; '10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '202.158.194.177'; '198.32.176.171'; '104.21.32.237']"
"http://www.downduck.com/","200","['172.67.135.148'; '104.21.26.64']","7","['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '202.158.194.177'; '198.32.176.171'; '172.67.135.148']"
"https://www.downloadha.com/","200","['79.127.127.25']","7","['10.126.192.3'; '10.127.1.7'; '10.10.254.61'; '198.32.176.70'; '195.22.214.73'; '89.221.39.21'; '79.127.127.25']"
"http://emotionvideo-tv.com/","200","['172.67.197.109'; '104.21.92.200']","7","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '202.158.194.177'; '198.32.176.171'; '172.67.197.109']"
"http://movieon21.biz/","HTTPSConnectionPool(host='movieon21.biz'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D288ADFC8>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))","['198.54.117.199'; '198.54.117.200'; '198.54.117.197'; '198.54.117.198']","10","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.153'; '202.158.194.162'; '129.250.3.103'; '129.250.3.162'; '129.250.192.249'; '128.241.13.10'; '198.54.117.199']"
